GENE	DIST
CFAP74	196
GABRD	182
PRKCZ	128
C1ORF86	5
SKI	26
MORN1	6
RER1	4
PEX10	27
PLCH2	89
PANK4	141
HES5	145
TNFRSF14	169
FAM213B	199
ACTRT2	12
LINC00982	60
PRDM16	59
ACOT7	90
HES2	56
ESPN	53
TNFRSF25	10
PLEKHG5	20
NOL9	1
TAS1R1	3
ZBTB48	21
KLHL21	46
PHF13	55
THAP3	66
DNAJC11	22
CAMTA1	59
VAMP3	134
PER3	121
UTS2	50
TNFRSF9	39
PARK7	55
ERRFI1	122
RERE	33
ENO1	27
ENO1-AS1	25
CA6	92
SLC2A7	85
SLC2A5	39
GPR157	17
MIR34A	40
H6PD	36
SPSB1	4
SLC25A33	33
TMEM201	15
PIK3CD-AS1	30
PIK3CD-AS2	63
PIK3CD	63
CLSTN1	38
CTNNBIP1	123
LZIC	90
NMNAT1	93
MIR5697	68
RBP7	38
UBE4B	2
KIF1B	174
RNU6-2	134
PGD	34
APITD1	2
CORT	16
DFFA	18
PEX14	18
CASZ1	77
C1ORF127	40
TARDBP	23
MASP2	13
SRMS	26
EXOSC10	65
MTOR-AS1	107
ANGPTL7	153
PTCHD2	179
FBXO2	1
FBXO44	3
FBXO6	5
MAD2L2	24
DRAXIN	33
AGTRAP	77
C1ORF167	81
MTHFR	35
CLCN6	37
NPPA-AS1	3
NPPA	6
NPPB	17
KIAA2013	34
PLOD1	41
MFN2	86
MIIP	125
TNFRSF8	150
TNFRSF1B	46
VPS13D	16
SNORA59A	146
SNORA59B	146
DHRS3	34
AADACL4	8
AADACL3	52
C1ORF158	82
PRAMEF12	111
PRAMEF1	128
PRAMEF11	169
HNRNPCL4	186
HNRNPCL3	186
HNRNPCL1	187
PRAMEF2	193
PRDM2	124
TMEM51-AS1	24
TMEM51	24
C1ORF195	44
FHAD1	117
EFHD2	17
CTRC	8
CELA2A	27
CELA2B	46
CASP9	96
DNAJC16	97
AGMAT	157
DDI2	172
RSC1A1	129
PLEKHM2	105
SLC25A34	53
FBLIM1	32
SPEN	58
ZBTB17	21
HSPB7	8
CLCNKA	9
CLCNKB	36
FAM131C	63
EPHA2	28
ARHGEF19	22
RSG1	7
FBXO42	7
SZRD1	5
SPATA21	77
NECAP2	78
CROCCP3	132
CROCC	115
MFAP2	54
ATP13A2	23
SDHB	6
PADI2	5
PADI1	26
PADI3	17
PADI4	76
PADI6	140
IGSF21	8
PAX7	191
TAS1R2	39
ALDH4A1	7
MIR1290	12
IFFO2	46
UBR4	179
EMC1	138
MRTO4	140
AKR7L	115
AKR7A3	101
AKR7A2	77
PQLC2	79
CAPZB	94
MINOS1	14
MINOS1-NBL1	14
NBL1	63
HTR6	83
TMCO4	114
